国名,人数,年月日
インドネシア,6179,2010/7/1
インドネシア,3720,2010/8/1
インドネシア,13681,2010/9/1
インドネシア,7010,2010/10/1
インドネシア,5615,2010/11/1
インドネシア,11124,2010/12/1
フィリピン,6532,2010/1/1
フィリピン,4505,2010/2/1
フィリピン,7907,2010/3/1
フィリピン,8575,2010/4/1
フィリピン,8546,2010/5/1
フィリピン,5394,2010/6/1
フィリピン,5238,2010/7/1
フィリピン,5517,2010/8/1
フィリピン,6133,2010/9/1
フィリピン,6797,2010/10/1
フィリピン,5894,2010/11/1
フィリピン,6339,2010/12/1
ベトナム,2737,2010/1/1
ベトナム,2652,2010/2/1
ベトナム,4606,2010/3/1
ベトナム,4000,2010/4/1
ベトナム,3086,2010/5/1
ベトナム,3485,2010/6/1
ベトナム,3283,2010/7/1
ベトナム,3421,2010/8/1
ベトナム,3761,2010/9/1
ベトナム,4226,2010/10/1
ベトナム,3772,2010/11/1
ベトナム,2833,2010/12/1
インド,5758,2010/1/1
インド,3999,2010/2/1
インド,5310,2010/3/1
インド,5557,2010/4/1
インド,7942,2010/5/1
インド,5813,2010/6/1
インド,5395,2010/7/1
インド,5401,2010/8/1
インド,5392,2010/9/1
インド,6603,2010/10/1
インド,5357,2010/11/1
インド,4292,2010/12/1
イスラエル,715,2010/1/1
イスラエル,611,2010/2/1
イスラエル,1993,2010/3/1
イスラエル,2225,2010/4/1
イスラエル,884,2010/5/1
イスラエル,723,2010/6/1
イスラエル,859,2010/7/1
イスラエル,914,2010/8/1
イスラエル,1856,2010/9/1
イスラエル,1910,2010/10/1
イスラエル,978,2010/11/1
イスラエル,521,2010/12/1
トルコ,617,2010/1/1
トルコ,531,2010/2/1
トルコ,886,2010/3/1
トルコ,871,2010/4/1
トルコ,702,2010/5/1
トルコ,712,2010/6/1
トルコ,842,2010/7/1
トルコ,875,2010/8/1
トルコ,790,2010/9/1
トルコ,1147,2010/10/1
トルコ,1378,2010/11/1
トルコ,578,2010/12/1
英国,12261,2010/1/1
英国,15630,2010/2/1
英国,17809,2010/3/1
英国,18419,2010/4/1
英国,14969,2010/5/1
英国,12071,2010/6/1
英国,16233,2010/7/1
英国,14880,2010/8/1
英国,15545,2010/9/1
英国,18505,2010/10/1
英国,15068,2010/11/1
英国,12655,2010/12/1
フランス,8218,2010/1/1
フランス,8700,2010/2/1
フランス,13265,2010/3/1
フランス,17451,2010/4/1
フランス,13699,2010/5/1
フランス,9686,2010/6/1
フランス,16202,2010/7/1
フランス,14446,2010/8/1
フランス,11475,2010/9/1
フランス,16580,2010/10/1
フランス,11121,2010/11/1
フランス,10168,2010/12/1
ドイツ,6899,2010/1/1
ドイツ,7293,2010/2/1
ドイツ,14141,2010/3/1
ドイツ,10196,2010/4/1
ドイツ,10944,2010/5/1
ドイツ,8550,2010/6/1
ドイツ,9844,2010/7/1
ドイツ,9789,2010/8/1
ドイツ,11534,2010/9/1
ドイツ,15302,2010/10/1
ドイツ,12463,2010/11/1
ドイツ,7405,2010/12/1
イタリア,3528,2010/1/1
イタリア,3332,2010/2/1
イタリア,6235,2010/3/1
イタリア,5536,2010/4/1
イタリア,5138,2010/5/1
イタリア,3955,2010/6/1
イタリア,5748,2010/7/1
イタリア,8279,2010/8/1
イタリア,5065,2010/9/1
イタリア,6638,2010/10/1
イタリア,4702,2010/11/1
イタリア,4238,2010/12/1
ロシア,4119,2010/1/1
ロシア,2450,2010/2/1
ロシア,4478,2010/3/1
ロシア,5021,2010/4/1
ロシア,4238,2010/5/1
ロシア,3750,2010/6/1
ロシア,4934,2010/7/1
ロシア,4375,2010/8/1
ロシア,3994,2010/9/1
ロシア,5426,2010/10/1
ロシア,4976,2010/11/1
ロシア,3696,2010/12/1
スペイン,1767,2010/1/1
スペイン,1942,2010/2/1
スペイン,4338,2010/3/1
スペイン,2706,2010/4/1
スペイン,3166,2010/5/1
スペイン,2997,2010/6/1
スペイン,5543,2010/7/1
スペイン,7368,2010/8/1
スペイン,4560,2010/9/1
スペイン,4581,2010/10/1
スペイン,2909,2010/11/1
スペイン,2199,2010/12/1
スウェーデン,1904,2010/1/1
スウェーデン,1848,2010/2/1
スウェーデン,3384,2010/3/1
スウェーデン,2998,2010/4/1
スウェーデン,2437,2010/5/1
スウェーデン,2470,2010/6/1
スウェーデン,2104,2010/7/1
スウェーデン,1873,2010/8/1
スウェーデン,2273,2010/9/1
スウェーデン,3467,2010/10/1
スウェーデン,2604,2010/11/1
スウェーデン,1826,2010/12/1
オランダ,1995,2010/1/1
オランダ,2134,2010/2/1
オランダ,3064,2010/3/1
オランダ,2934,2010/4/1
オランダ,3013,2010/5/1
オランダ,2136,2010/6/1
オランダ,3644,2010/7/1
オランダ,2202,2010/8/1
オランダ,2793,2010/9/1
オランダ,3688,2010/10/1
オランダ,3038,2010/11/1
オランダ,2196,2010/12/1
スイス,1317,2010/1/1
スイス,1335,2010/2/1
スイス,2667,2010/3/1
スイス,2903,2010/4/1
スイス,2207,2010/5/1
スイス,1552,2010/6/1
スイス,2860,2010/7/1
スイス,1912,2010/8/1
スイス,2309,2010/9/1
スイス,3360,2010/10/1
スイス,2063,2010/11/1
スイス,1520,2010/12/1
ベルギー,895,2010/1/1
ベルギー,892,2010/2/1
ベルギー,1401,2010/3/1
ベルギー,1758,2010/4/1
ベルギー,1341,2010/5/1
ベルギー,1028,2010/6/1
ベルギー,1646,2010/7/1
ベルギー,1187,2010/8/1
ベルギー,1547,2010/9/1
ベルギー,1923,2010/10/1
ベルギー,1486,2010/11/1
ベルギー,877,2010/12/1
フィンランド,1193,2010/1/1
フィンランド,1090,2010/2/1
フィンランド,1942,2010/3/1
フィンランド,1526,2010/4/1
フィンランド,1347,2010/5/1
フィンランド,1582,2010/6/1
フィンランド,1510,2010/7/1
フィンランド,1042,2010/8/1
フィンランド,1117,2010/9/1
フィンランド,1857,2010/10/1
フィンランド,1579,2010/11/1
フィンランド,1175,2010/12/1
ポーランド,465,2010/1/1
ポーランド,457,2010/2/1
ポーランド,928,2010/3/1
ポーランド,1193,2010/4/1
ポーランド,924,2010/5/1
ポーランド,570,2010/6/1
ポーランド,984,2010/7/1
ポーランド,1037,2010/8/1
ポーランド,1066,2010/9/1
ポーランド,1097,2010/10/1
ポーランド,1058,2010/11/1
ポーランド,474,2010/12/1
デンマーク,906,2010/1/1
デンマーク,1091,2010/2/1
デンマーク,1742,2010/3/1
デンマーク,1070,2010/4/1
デンマーク,1183,2010/5/1
デンマーク,1145,2010/6/1
デンマーク,1539,2010/7/1
デンマーク,866,2010/8/1
デンマーク,1216,2010/9/1
デンマーク,1792,2010/10/1
デンマーク,1279,2010/11/1
デンマーク,777,2010/12/1
ノルウェー,729,2010/1/1
ノルウェー,641,2010/2/1
ノルウェー,1467,2010/3/1
ノルウェー,741,2010/4/1
ノルウェー,651,2010/5/1
ノルウェー,835,2010/6/1
ノルウェー,1019,2010/7/1
ノルウェー,654,2010/8/1
ノルウェー,858,2010/9/1
ノルウェー,1132,2010/10/1
ノルウェー,984,2010/11/1
ノルウェー,591,2010/12/1
オーストリア,886,2010/1/1
オーストリア,938,2010/2/1
オーストリア,1395,2010/3/1
オーストリア,1196,2010/4/1
オーストリア,1324,2010/5/1
オーストリア,954,2010/6/1
オーストリア,1312,2010/7/1
オーストリア,1133,2010/8/1
オーストリア,1252,2010/9/1
オーストリア,1860,2010/10/1
オーストリア,1258,2010/11/1
オーストリア,932,2010/12/1
ポルトガル,524,2010/1/1
ポルトガル,754,2010/2/1
ポルトガル,843,2010/3/1
ポルトガル,865,2010/4/1
ポルトガル,711,2010/5/1
ポルトガル,845,2010/6/1
ポルトガル,1114,2010/7/1
ポルトガル,1634,2010/8/1
ポルトガル,805,2010/9/1
ポルトガル,851,2010/10/1
ポルトガル,646,2010/11/1
ポルトガル,721,2010/12/1
アイルランド,827,2010/1/1
アイルランド,683,2010/2/1
アイルランド,1076,2010/3/1
アイルランド,864,2010/4/1
アイルランド,873,2010/5/1
アイルランド,857,2010/6/1
アイルランド,894,2010/7/1
アイルランド,903,2010/8/1
アイルランド,982,2010/9/1
アイルランド,1037,2010/10/1
アイルランド,978,2010/11/1
アイルランド,764,2010/12/1
米国,48643,2010/1/1
米国,43645,2010/2/1
米国,71553,2010/3/1
米国,66879,2010/4/1
米国,65559,2010/5/1
米国,71781,2010/6/1
米国,68051,2010/7/1
米国,55449,2010/8/1
米国,56599,2010/9/1
米国,65989,2010/10/1
米国,59083,2010/11/1
米国,54003,2010/12/1
カナダ,11132,2010/1/1
カナダ,11484,2010/2/1
カナダ,15125,2010/3/1
カナダ,15332,2010/4/1
カナダ,14394,2010/5/1
カナダ,10378,2010/6/1
カナダ,14468,2010/7/1
カナダ,12291,2010/8/1
カナダ,11570,2010/9/1
カナダ,13281,2010/10/1
カナダ,11575,2010/11/1
カナダ,12273,2010/12/1
メキシコ,1374,2010/1/1
メキシコ,1001,2010/2/1
メキシコ,1906,2010/3/1
メキシコ,1437,2010/4/1
メキシコ,1686,2010/5/1
メキシコ,1585,2010/6/1
メキシコ,2140,2010/7/1
メキシコ,1299,2010/8/1
メキシコ,1738,2010/9/1
メキシコ,2130,2010/10/1
メキシコ,1608,2010/11/1
メキシコ,1344,2010/12/1
ブラジル,1377,2010/1/1
ブラジル,892,2010/2/1
ブラジル,1841,2010/3/1
ブラジル,2317,2010/4/1
ブラジル,1604,2010/5/1
ブラジル,1615,2010/6/1
ブラジル,2262,2010/7/1
ブラジル,1527,2010/8/1
ブラジル,1922,2010/9/1
ブラジル,2564,2010/10/1
ブラジル,1635,2010/11/1
ブラジル,1837,2010/12/1
豪州,26904,2010/1/1
豪州,20631,2010/2/1
豪州,20473,2010/3/1
豪州,18383,2010/4/1
豪州,14621,2010/5/1
豪州,16171,2010/6/1
豪州,15563,2010/7/1
豪州,12858,2010/8/1
豪州,23500,2010/9/1
豪州,16659,2010/10/1
豪州,15173,2010/11/1
豪州,24815,2010/12/1
ニュージーランド,2942,2010/1/1
ニュージーランド,2092,2010/2/1
ニュージーランド,2445,2010/3/1
ニュージーランド,2746,2010/4/1
ニュージーランド,2457,2010/5/1
ニュージーランド,2392,2010/6/1
ニュージーランド,3233,2010/7/1
ニュージーランド,2538,2010/8/1
ニュージーランド,3522,2010/9/1
ニュージーランド,2735,2010/10/1
ニュージーランド,2058,2010/11/1
ニュージーランド,2901,2010/12/1
無国籍・その他,43,2010/1/1
無国籍・その他,81,2010/2/1
無国籍・その他,53,2010/3/1
無国籍・その他,66,2010/4/1
無国籍・その他,49,2010/5/1
無国籍・その他,40,2010/6/1
無国籍・その他,61,2010/7/1
無国籍・その他,54,2010/8/1
無国籍・その他,49,2010/9/1
無国籍・その他,65,2010/10/1
無国籍・その他,49,2010/11/1
無国籍・その他,53,2010/12/1
韓国,129756,2009/1/1
韓国,106929,2009/2/1
韓国,108350,2009/3/1
韓国,113313,2009/4/1
韓国,117897,2009/5/1
韓国,104237,2009/6/1
韓国,170240,2009/7/1
韓国,190987,2009/8/1
韓国,105470,2009/9/1
韓国,131195,2009/10/1
韓国,130371,2009/11/1
韓国,178027,2009/12/1
中国,110262,2009/1/1
中国,62981,2009/2/1
中国,100951,2009/3/1
中国,106816,2009/4/1
中国,60530,2009/5/1
中国,36597,2009/6/1
中国,67944,2009/7/1
中国,109017,2009/8/1
中国,98697,2009/9/1
中国,108301,2009/10/1
中国,81462,2009/11/1
中国,62527,2009/12/1
台湾,97026,2009/1/1
台湾,59248,2009/2/1
